name,alpha2code,alpha3code,region,subregion,population
Ukraine,UA,UKR,Europe,Eastern Europe,44134693
Czechia,CZ,CZE,Europe,Central Europe,10698896
Serbia,RS,SRB,Europe,Southeast Europe,6908224
Romania,RO,ROU,Europe,Southeast Europe,19286123
Guernsey,GG,GGY,Europe,Northern Europe,62999
Faroe Islands,FO,FRO,Europe,Northern Europe,48865
Gibraltar,GI,GIB,Europe,Southern Europe,33691
Monaco,MC,MCO,Europe,Western Europe,39244
Montenegro,ME,MNE,Europe,Southeast Europe,621718
Svalbard and Jan Mayen,SJ,SJM,Europe,Northern Europe,2562
Latvia,LV,LVA,Europe,Northern Europe,1901548
United Kingdom,GB,GBR,Europe,Northern Europe,67215293
Finland,FI,FIN,Europe,Northern Europe,5530719
San Marino,SM,SMR,Europe,Southern Europe,33938
Malta,MT,MLT,Europe,Southern Europe,525285
Sweden,SE,SWE,Europe,Northern Europe,10353442
Greece,GR,GRC,Europe,Southern Europe,10715549
Estonia,EE,EST,Europe,Northern Europe,1331057
Isle of Man,IM,IMN,Europe,Northern Europe,85032
Cyprus,CY,CYP,Europe,Southern Europe,1207361
Italy,IT,ITA,Europe,Southern Europe,59554023
Vatican City,VA,VAT,Europe,Southern Europe,451
Kosovo,XK,UNK,Europe,Southeast Europe,1775378
Slovakia,SK,SVK,Europe,Central Europe,5458827
France,FR,FRA,Europe,Western Europe,67391582
Spain,ES,ESP,Europe,Southern Europe,47351567
Croatia,HR,HRV,Europe,Southeast Europe,4047200
Andorra,AD,AND,Europe,Southern Europe,77265
Åland Islands,AX,ALA,Europe,Northern Europe,29458
Liechtenstein,LI,LIE,Europe,Western Europe,38137
Austria,AT,AUT,Europe,Central Europe,8917205
Portugal,PT,PRT,Europe,Southern Europe,10305564
Luxembourg,LU,LUX,Europe,Western Europe,632275
North Macedonia,MK,MKD,Europe,Southeast Europe,2077132
Switzerland,CH,CHE,Europe,Western Europe,8654622
Norway,NO,NOR,Europe,Northern Europe,5379475
Bosnia and Herzegovina,BA,BIH,Europe,Southeast Europe,3280815
Slovenia,SI,SVN,Europe,Central Europe,2100126
Iceland,IS,ISL,Europe,Northern Europe,366425
Bulgaria,BG,BGR,Europe,Southeast Europe,6927288
Ireland,IE,IRL,Europe,Northern Europe,4994724
Belgium,BE,BEL,Europe,Western Europe,11555997
Albania,AL,ALB,Europe,Southeast Europe,2837743
Denmark,DK,DNK,Europe,Northern Europe,5831404
Lithuania,LT,LTU,Europe,Northern Europe,2794700
Jersey,JE,JEY,Europe,Northern Europe,100800
Germany,DE,DEU,Europe,Western Europe,83240525
Hungary,HU,HUN,Europe,Central Europe,9749763
Netherlands,NL,NLD,Europe,Western Europe,16655799
Russia,RU,RUS,Europe,Eastern Europe,144104080
Poland,PL,POL,Europe,Central Europe,37950802
Belarus,BY,BLR,Europe,Eastern Europe,9398861
Moldova,MD,MDA,Europe,Eastern Europe,2617820
